PRESUPUESTO CHATBOT WHATSAPP - COCOLUVENTAS
,,,,,,
Cliente:,CocoLuVentas,,,Fecha:,11/11/2025
Proyecto:,Sistema de Chatbot WhatsApp con Rotación Automática de Vendedores,,,Desarrollador:,Ember Drago
,,,,,,
TARIFA/HORA:,50,USD,← AJUSTAR AQUÍ PARA RECALCULAR TODO,,
,,,,,,
#,Fase/Tarea,Descripción Detallada,Horas,Días (8h),Tarifa,Total USD,%
,,,,,,,,
3.3.1,Detección keywords,hola-hello-hi-ayuda,2,=D66/8,=$B$6,=D66*F66,=G66/$G$120
3.3.2,Lógica asignación,getNextVendedor(),3,=D67/8,=$B$6,=D67*F67,=G67/$G$120
3.3.3,Generación respuesta,Mensaje personalizado,3,=D68/8,=$B$6,=D68*F68,=G68/$G$120
,,,,,,,,
3.4,Flow Lista Vendedores,,,,,
3.4.1,Comando lista,Keywords: lista-vendedores,1,=D71/8,=$B$6,=D71*F71,=G71/$G$120
3.4.2,Formato respuesta,Lista completa formateada,2,=D72/8,=$B$6,=D72*F72,=G72/$G$120
,,,,,,,,
3.5,Flow Estadísticas,,,,,
3.5.1,Comando stats,Keyword: stats,1,=D75/8,=$B$6,=D75*F75,=G75/$G$120
3.5.2,Cálculo métricas,Asignaciones-próximo,2,=D76/8,=$B$6,=D76*F76,=G76/$G$120
3.5.3,Formato reporte,Respuesta formateada,2,=D77/8,=$B$6,=D77*F77,=G77/$G$120
,,,,,,,,
3.6,Historial,,,,,
3.6.1,Registro asignaciones,Log temporal en memoria,2,=D80/8,=$B$6,=D80*F80,=G80/$G$120
3.6.2,Tracking por sesión,Historial por usuario,2,=D81/8,=$B$6,=D81*F81,=G81/$G$120
,,,,,,,,
,SUBTOTAL FASE 3:,,=D57+D58+D61+D62+D63+D66+D67+D68+D71+D72+D75+D76+D77+D80+D81,=D83/8,,=G57+G58+G61+G62+G63+G66+G67+G68+G71+G72+G75+G76+G77+G80+G81,=G83/$G$120
,,,,,,,,
,══════════════════════════════════════════════════════════════,,,,,,
,FASE 4: FUNCIONALIDADES AVANZADAS,,,,,,
,══════════════════════════════════════════════════════════════,,,,,,
4.1,Respuestas Personalizadas,Templates dinámicos,4,=D89/8,=$B$6,=D89*F89,=G89/$G$120
4.2,Múltiples Comandos,Keywords y sinónimos,3,=D90/8,=$B$6,=D90*F90,=G90/$G$120
4.3,Sistema de Logs,Console logging,3,=D91/8,=$B$6,=D91*F91,=G91/$G$120
4.4,Manejo de Errores,Try-catch y fallbacks,4,=D92/8,=$B$6,=D92*F92,=G92/$G$120
,,,,,,,,
,SUBTOTAL FASE 4:,,=D89+D90+D91+D92,=D94/8,,=G89+G90+G91+G92,=G94/$G$120
,,,,,,,,
,══════════════════════════════════════════════════════════════,,,,,,
,FASE 5: INTEGRACIÓN Y API REST,,,,,,
,══════════════════════════════════════════════════════════════,,,,,,
5.1,API REST Básica,Express + endpoints,8,=D100/8,=$B$6,=D100*F100,=G100/$G$120
5.2,Endpoint Stats,GET /v1/stats,3,=D101/8,=$B$6,=D101*F101,=G101/$G$120
5.3,Endpoint Mensajes,POST /v1/messages,4,=D102/8,=$B$6,=D102*F102,=G102/$G$120
5.4,Documentación API,README con ejemplos,4,=D103/8,=$B$6,=D103*F103,=G103/$G$120
,,,,,,,,
,SUBTOTAL FASE 5:,,=D100+D101+D102+D103,=D105/8,,=G100+G101+G102+G103,=G105/$G$120
,,,,,,,,
,══════════════════════════════════════════════════════════════,,,,,,
,FASE 6: TESTING Y ASEGURAMIENTO DE CALIDAD,,,,,,
,══════════════════════════════════════════════════════════════,,,,,,
6.1,Pruebas Unitarias,Tests de funciones,12,=D111/8,=$B$6,=D111*F111,=G111/$G$120
6.2,Pruebas Integración,Tests de flujos,10,=D112/8,=$B$6,=D112*F112,=G112/$G$120
6.3,Pruebas WhatsApp Real,QR y envío/recepción,8,=D113/8,=$B$6,=D113*F113,=G113/$G$120
6.4,Testing Rotación,Verificar Round-Robin,4,=D114/8,=$B$6,=D114*F114,=G114/$G$120
6.5,Pruebas de Estrés,Mensajes simultáneos,6,=D115/8,=$B$6,=D115*F115,=G115/$G$120
6.6,Corrección Bugs,Fix problemas,12,=D116/8,=$B$6,=D116*F116,=G116/$G$120
,,,,,,,,
,SUBTOTAL FASE 6:,,=D111+D112+D113+D114+D115+D116,=D118/8,,=G111+G112+G113+G114+G115+G116,=G118/$G$120
,,,,,,,,
,══════════════════════════════════════════════════════════════,,,,,,
,FASE 7: DOCUMENTACIÓN,,,,,,
,══════════════════════════════════════════════════════════════,,,,,,
7.1,Manual de Usuario,Guía de comandos,5,=D124/8,=$B$6,=D124*F124,=G124/$G$120
7.2,Guía de Instalación,Scripts e instrucciones,5,=D125/8,=$B$6,=D125*F125,=G125/$G$120
7.3,Documentación Técnica,Arquitectura y código,6,=D126/8,=$B$6,=D126*F126,=G126/$G$120
7.4,README Completo,GitHub con ejemplos,4,=D127/8,=$B$6,=D127*F127,=G127/$G$120
,,,,,,,,
,SUBTOTAL FASE 7:,,=D124+D125+D126+D127,=D129/8,,=G124+G125+G126+G127,=G129/$G$120
,,,,,,,,
,══════════════════════════════════════════════════════════════,,,,,,
,FASE 8: DEPLOYMENT Y ENTREGA,,,,,,
,══════════════════════════════════════════════════════════════,,,,,,
8.1,Scripts de Inicio,Auto-inicio automático,4,=D135/8,=$B$6,=D135*F135,=G135/$G$120
8.2,Config Producción,Variables y seguridad,6,=D136/8,=$B$6,=D136*F136,=G136/$G$120
8.3,Training Cliente,Sesión capacitación,4,=D137/8,=$B$6,=D137*F137,=G137/$G$120
8.4,Entrega Final,Transferencia archivos,4,=D138/8,=$B$6,=D138*F138,=G138/$G$120
,,,,,,,,
,SUBTOTAL FASE 8:,,=D135+D136+D137+D138,=D140/8,,=G135+G136+G137+G138,=G140/$G$120
,,,,,,,,
,══════════════════════════════════════════════════════════════,,,,,,
,FASE 9: SOPORTE POST-LANZAMIENTO (1 MES),,,,,,
,══════════════════════════════════════════════════════════════,,,,,,
9.1,Soporte Técnico,Resolución problemas,20,=D146/8,=$B$6,=D146*F146,=G146/$G$120
9.2,Ajustes Menores,Modificaciones,10,=D147/8,=$B$6,=D147*F147,=G147/$G$120
9.3,Monitoreo,Verificación estabilidad,6,=D148/8,=$B$6,=D148*F148,=G148/$G$120
,,,,,,,,
,SUBTOTAL FASE 9:,,=D146+D147+D148,=D150/8,,=G146+G147+G148,=G150/$G$120
,,,,,,,,
,,,,,,,,
,══════════════════════════════════════════════════════════════,,,,,,
,TOTAL PROYECTO,,=D32+D51+D83+D94+D105+D118+D129+D140+D150,=D154/8,,=G32+G51+G83+G94+G105+G118+G129+G140+G150,100%
,══════════════════════════════════════════════════════════════,,,,,,
,,,,,,,,
══════════════════════════════════════════════════════════════,,,,,,
RESUMEN EJECUTIVO,,,,,,
══════════════════════════════════════════════════════════════,,,,,,
,,,,,,,,
Total de Horas:,=D154,horas,,,,
Total de Días (8h/día):,=E154,días laborables,,,,
Semanas (5 días/sem):,=E162/5,semanas,,,,
Duración con Imprevistos (+30%):,=E162*1.3,días calendario,,,,
,,,,,,,,
Tarifa por Hora:,=$B$6,USD,,,,
COSTO TOTAL PROYECTO:,=G154,USD,,,,
,,,,,,,,
,,,,,,,,
══════════════════════════════════════════════════════════════,,,,,,
COMPARACIÓN DE ESCENARIOS,,,,,,
══════════════════════════════════════════════════════════════,,,,,,
,,,,,,,,
Escenario,Horas,Días,Semanas,Costo USD,,
Optimista (-20%),=D154*0.8,=B175/8,=C175/5,=$B$6*B175,,
REALISTA (Base),=D154,=B176/8,=C176/5,=G154,,
Conservador (+30%),=D154*1.3,=B177/8,=C177/5,=$B$6*B177,,
Pesimista (+50%),=D154*1.5,=B178/8,=C178/5,=$B$6*B178,,
,,,,,,,,
,,,,,,,,
══════════════════════════════════════════════════════════════,,,,,,
DESGLOSE POR FASE,,,,,,
══════════════════════════════════════════════════════════════,,,,,,
,,,,,,,,
Fase,Horas,Costo,% del Total,,,
Fase 1 - Análisis y Diseño,=D32,=G32,=G32/G154*100,,,
Fase 2 - Configuración Entorno,=D51,=G51,=G51/G154*100,,,
Fase 3 - Desarrollo Core,=D83,=G83,=G83/G154*100,,,
Fase 4 - Funcionalidades Avanzadas,=D94,=G94,=G94/G154*100,,,
Fase 5 - API REST,=D105,=G105,=G105/G154*100,,,
Fase 6 - Testing y QA,=D118,=G118,=G118/G154*100,,,
Fase 7 - Documentación,=D129,=G129,=G129/G154*100,,,
Fase 8 - Deployment,=D140,=G140,=G140/G154*100,,,
Fase 9 - Soporte (1 mes),=D150,=G150,=G150/G154*100,,,
,,,,,,,,
,,,,,,,,
══════════════════════════════════════════════════════════════,,,,,,
NOTAS IMPORTANTES,,,,,,
══════════════════════════════════════════════════════════════,,,,,,
,,,,,,,,
• Tiempos estimados REALISTAS basados en experiencia,,,,,,
• Incluye 1 mes completo de soporte post-lanzamiento,,,,,,
• NO incluye hosting o infraestructura de servidor,,,,,,
• Requiere cuenta de WhatsApp Business del cliente,,,,,,
• Proyecto con BuilderBot (Leifer Méndez),,,,,,
• Tecnología: Node.js + Baileys + WhatsApp Web Protocol,,,,,,
• Sistema de rotación Round-Robin automatizado,,,,,,
• 5 vendedores configurables con información personalizada,,,,,,
• AJUSTA LA TARIFA/HORA en celda B6 para recalcular TODO,,,,,,
